Country,Year,Population_actual,Population_predicted
Cayman Islands,2005,45,279
Cayman Islands,2010,51,284
Cayman Islands,2015,57,290
Cayman Islands,2020,62,295
Central African Republic,1995,3545,300
Central African Republic,2000,3980,306
Central African Republic,2005,4364,311
Central African Republic,2010,4845,317
Central African Republic,2015,5392,322
Central African Republic,2020,5991,328
Chad,1995,6770,9578
Chad,2000,7943,9698
Chad,2005,9401,9818
Chad,2010,10544,9938
Chad,2015,11632,10058
Chad,2020,12756,10177
Chile,1995,14173,10297
Chile,2000,15175,10417
Chile,2005,15980,10537
Chile,2010,16760,10657
Chile,2015,17509,10777
Chile,2020,18187,10897
China,1995,1221056,11017
China,2000,1268302,10200
China,2005,1302285,10380
China,2010,1336681,10560
China,2015,1367486,10739
China,2020,1397026,10919
Colombia,1995,36532,11099
Colombia,2000,38911,11279
Colombia,2005,41488,11459
Colombia,2010,44206,11639
Colombia,2015,46737,11819
Colombia,2020,49085,11999
Comoros,1995,483,12179
Comoros,2000,546,12359
Comoros,2005,624,209
Comoros,2010,707,233
Comoros,2015,781,256
Comoros,2020,847,280
Cook Islands,1995,19,303
Cook Islands,2000,17,326
Cook Islands,2005,14,350
Cook Islands,2010,12,373
Cook Islands,2015,10,397
Cook Islands,2020,9,420
Costa Rica,1995,3445,443
Costa Rica,2000,3883,467
Costa Rica,2005,4209,490
Costa Rica,2010,4517,5625
Costa Rica,2015,4815,6416
Costa Rica,2020,5098,7206
Croatia,1995,4497,7997
Croatia,2000,4411,8787
Croatia,2005,4496,9578
Croatia,2010,4487,10368
Croatia,2015,4465,11159
Croatia,2020,4428,11949
Cuba,1995,10848,12740
Cuba,2000,11072,13530
Cuba,2005,11199,14321
Cuba,2010,11099,15111
Cuba,2015,11032,59
Cuba,2020,10932,61
Curaçao,1995,142,63
Curaçao,2000,134,65
Curaçao,2005,137,67
Curaçao,2010,144,69
Curaçao,2015,149,71
Curaçao,2020,152,73
Cyprus,1995,848,76
Cyprus,2000,920,78
Cyprus,2005,1011,80
Cyprus,2010,1103,82
Cyprus,2015,1190,84
Cyprus,2020,1267,528
Czech Republic,1995,10324,577
Czech Republic,2000,10269,626
Czech Republic,2005,10267,675
Czech Republic,2010,10551,724
Czech Republic,2015,10645,773
Czech Republic,2020,10703,822
Democratic Republic of the Congo,1995,46705,871
Democratic Republic of the Congo,2000,52446,920
Democratic Republic of the Congo,2005,60699,969
Democratic Republic of the Congo,2010,69852,1018
Democratic Republic of the Congo,2015,79376,1067
Democratic Republic of the Congo,2020,89250,1116
Denmark,1995,5233,7002
Denmark,2000,5338,7678
Denmark,2005,5433,8355
Denmark,2010,5516,9031
Denmark,2015,5582,9707
Denmark,2020,5643,10383
Djibouti,1995,554,11059
Djibouti,2000,670,11735
Djibouti,2005,667,12411
Djibouti,2010,741,13088
Djibouti,2015,829,13764
Djibouti,2020,922,14440
Dominica,1995,72,15116
Dominica,2000,71,3871
Dominica,2005,73,3905
Dominica,2010,73,3940
Dominica,2015,74,3975
Dominica,2020,75,4009
Dominican Republic,1995,7759,4044
Dominican Republic,2000,8469,4078
Dominican Republic,2005,9165,4113
Dominican Republic,2010,9824,4148
Dominican Republic,2015,10479,4182
Dominican Republic,2020,11110,4217
Ecuador,1995,11266,4251
Ecuador,2000,12446,4286
Ecuador,2005,13663,1298
Ecuador,2010,14791,1459
Ecuador,2015,15869,1621
Ecuador,2020,16905,1783
Egypt,1995,58946,1944
Egypt,2000,65159,2106
Egypt,2005,72544,2268
Egypt,2010,80472,2429
Egypt,2015,88488,2591
Egypt,2020,99667,2753
El Salvador,1995,5480,2914
El Salvador,2000,5850,3076
El Salvador,2005,5957,3238
El Salvador,2010,6053,146329
El Salvador,2015,6142,158772
El Salvador,2020,6218,171215
Equatorial Guinea,1995,427,183658
Equatorial Guinea,2000,492,196100
Equatorial Guinea,2005,568,208543
Equatorial Guinea,2010,651,220986
Equatorial Guinea,2015,741,233428
Equatorial Guinea,2020,837,245871
Eritrea,1995,3566,258314
Eritrea,2000,4198,270756
Eritrea,2005,5070,283199
Eritrea,2010,5793,295642
Eritrea,2015,6528,18
Eritrea,2020,7260,21
Estonia,1995,1447,23
Estonia,2000,1380,26
Estonia,2005,1332,28
Estonia,2010,1303,31
Estonia,2015,1266,33
Estonia,2020,1229,35
Eswatini,1995,1004,38
Eswatini,2000,1144,40
Eswatini,2005,1259,43
Eswatini,2010,1355,45
Eswatini,2015,1436,48
Eswatini,2020,1514,259
Ethiopia,1995,55726,292
Ethiopia,2000,64366,324
Ethiopia,2005,74355,357
Ethiopia,2010,86043,389
Ethiopia,2015,99466,421
Ethiopia,2020,114641,454
Faroe Islands,1995,44,486
Faroe Islands,2000,46,518
Faroe Islands,2005,49,551
Faroe Islands,2010,50,583
Faroe Islands,2015,51,615
Faroe Islands,2020,52,648
Federated States of Micronesia,1995,106,8186
Federated States of Micronesia,2000,108,8098
Federated States of Micronesia,2005,109,8011
Federated States of Micronesia,2010,108,7923
Federated States of Micronesia,2015,106,7836
Federated States of Micronesia,2020,103,7748
Fiji,1995,773,7660
Fiji,2000,805,7573
Fiji,2005,837,7485
Fiji,2010,876,7398
Fiji,2015,910,7310
Fiji,2020,936,7223
Finland,1995,5105,7135
Finland,2000,5169,10334
Finland,2005,5239,11683
Finland,2010,5355,13032
Finland,2015,5477,14380
Finland,2020,5572,15729
France,1995,59824,17077
France,2000,61256,18426
France,2005,63060,19775
France,2010,64941,21123
France,2015,66554,22472
France,2020,67849,23821
French Polynesia,1995,217,25169
French Polynesia,2000,236,26518
French Polynesia,2005,254,6233
French Polynesia,2010,269,6978
French Polynesia,2015,283,7724
French Polynesia,2020,296,8469
Gabon,1995,1070,9215
Gabon,2000,1237,9960
Gabon,2005,1396,10706
Gabon,2010,1546,11451
Gabon,2015,1706,12197
Gabon,2020,1877,12943
Gambia,1995,1162,13688
Gambia,2000,1357,14434
Gambia,2005,1548,15179
Gambia,2010,1756,10281
Gambia,2015,1968,11190
Gambia,2020,2174,12099
Georgia,1995,5042,13007
Georgia,2000,4819,13916
Georgia,2005,4791,14825
Georgia,2010,4903,15734
Georgia,2015,4932,16643
Georgia,2020,4931,17551
Germany,1995,81654,18460
Germany,2000,82184,19369
Germany,2005,82440,20278
Germany,2010,81645,21187
Germany,2015,80855,13489
Germany,2020,82983,15219
Ghana,1995,17322,16949
Ghana,2000,18982,18679
Ghana,2005,21107,20409
Ghana,2010,23572,22140
Ghana,2015,26328,23870
Ghana,2020,29341,25600
Gibraltar,1995,27,27330
Gibraltar,2000,28,29060
Gibraltar,2005,29,30791
Gibraltar,2010,29,32521
Gibraltar,2015,30,34251
Gibraltar,2020,30,27678
Greece,1995,10458,29196
Greece,2000,10560,30714
Greece,2005,10669,32231
Greece,2010,10750,33749
Greece,2015,10776,35267
Greece,2020,10743,36784
Greenland,1995,57,38302
Greenland,2000,57,39820
Greenland,2005,58,41337
Greenland,2010,58,42855
Greenland,2015,58,44373
Greenland,2020,58,45890
Grenada,1995,98,371
Grenada,2000,102,402
Grenada,2005,105,432
Grenada,2010,108,463
Grenada,2015,111,494
Grenada,2020,114,525
Guam,1995,145,555
Guam,2000,156,586
Guam,2005,159,617
Guam,2010,160,648
Guam,2015,162,678
Guam,2020,169,709
Guatemala,1995,10028,740
Guatemala,2000,11086,29
Guatemala,2005,12183,34
Guatemala,2010,13551,39
Guatemala,2015,14919,43
Guatemala,2020,16265,48
Guernsey,1995,61,52
Guernsey,2000,62,57
Guernsey,2005,64,62
Guernsey,2010,65,66
Guernsey,2015,67,71
Guernsey,2020,68,75
Guinea,1995,7446,80
Guinea,2000,8351,85
Guinea,2005,9154,3315
Guinea,2010,10325,3688
Guinea,2015,11781,4061
Guinea,2020,13420,4435
Guinea-Bissau,1995,1144,4808
Guinea-Bissau,2000,1279,5181
Guinea-Bissau,2005,1415,5555
Guinea-Bissau,2010,1566,5928
Guinea-Bissau,2015,1727,6302
Guinea-Bissau,2020,1893,6675
Guyana,1995,769,7048
Guyana,2000,785,7422
Guyana,2005,775,7795
Guyana,2010,746,6738
Guyana,2015,736,7535
Guyana,2020,751,8332
Haiti,1995,7571,9129
Haiti,2000,8413,9926
Haiti,2005,9205,10723
Haiti,2010,9649,11520
Haiti,2015,10111,12317
Haiti,2020,10693,13114
Honduras,1995,5551,13911
Honduras,2000,6360,14708
Honduras,2005,7194,15505
Honduras,2010,7990,16302
Honduras,2015,8747,12993
Honduras,2020,9466,13898
Hong Kong,1995,6223,14804
Hong Kong,2000,6656,15709
Hong Kong,2005,6905,16614
Hong Kong,2010,7030,17520
Hong Kong,2015,7142,18425
Hong Kong,2020,7250,19331
Hungary,1995,10281,20236
Hungary,2000,10148,21142
Hungary,2005,10058,22047
Hungary,2010,9993,22953
Hungary,2015,9898,23858
Hungary,2020,9772,1095484
Iceland,1995,268,1161047
Iceland,2000,282,1226610
Iceland,2005,297,1292173
Iceland,2010,318,1357736
Iceland,2015,332,1423299
Iceland,2020,358,1488862
India,1995,920585,1554426
India,2000,1006301,1619989
India,2005,1090974,1685552
India,2010,1173109,1751115
India,2015,1251696,1816678
India,2020,1326094,1882241
Indonesia,1995,197604,32778
Indonesia,2000,214091,35595
Indonesia,2005,229245,38413
Indonesia,2010,243423,41230
Indonesia,2015,255994,44048
Indonesia,2020,279080,46865
Iran,1995,64218,49683
Iran,2000,68632,52501
Iran,2005,72283,55318
Iran,2010,76924,58136
Iran,2015,81825,60953
Iran,2020,86544,63771
Iraq,1995,19658,66588
Iraq,2000,23129,461
Iraq,2005,27538,516
Iraq,2010,30527,571
Iraq,2015,37057,626
Iraq,2020,42213,681
Ireland,1995,3614,736
Ireland,2000,3823,792
Ireland,2005,4200,847
Ireland,2010,4623,902
Ireland,2015,4893,957
Ireland,2020,5177,1012
Isle of Man,1995,73,1067
Isle of Man,2000,76,1122
Isle of Man,2005,80,16
Isle of Man,2010,84,16
Isle of Man,2015,88,15
Isle of Man,2020,91,14
Israel,1995,5335,13
Israel,2000,6098,12
Israel,2005,6726,12
Israel,2010,7369,11
Israel,2015,8050,10
Israel,2020,9178,9
Italy,1995,57295,8
Italy,2000,57785,8
Italy,2005,59038,7
Italy,2010,60749,3083
Italy,2015,61856,3415
Italy,2020,62403,3747
Ivory Coast,1995,14846,4079
Ivory Coast,2000,16885,4411
Ivory Coast,2005,18921,4743
Ivory Coast,2010,21059,5075
Ivory Coast,2015,23296,5407
Ivory Coast,2020,25504,5739
Jamaica,1995,2470,6071
Jamaica,2000,2616,6403
Jamaica,2005,2737,6735
Jamaica,2010,2848,7067
Jamaica,2015,2951,4380
Jamaica,2020,3052,4417
Japan,1995,125328,4454
Japan,2000,126776,4491
Japan,2005,127716,4527
Japan,2010,127580,4564
Japan,2015,126920,4601
Japan,2020,126138,4638
Jersey,1995,85,4674
Jersey,2000,88,4711
Jersey,2005,89,4748
Jersey,2010,94,4785
Jersey,2015,98,4821
Jersey,2020,102,9965
Jordan,1995,4249,10308
Jordan,2000,4786,10651
Jordan,2005,5363,10994
Jordan,2010,6501,11337
Jordan,2015,8118,11681
Jordan,2020,7690,12024
Kazakhstan,1995,16390,12367
Kazakhstan,2000,15688,12710
Kazakhstan,2005,16123,13053
Kazakhstan,2010,17085,13397
Kazakhstan,2015,18158,13740
Kazakhstan,2020,19092,14083
Kenya,1995,27164,144
Kenya,2000,30606,145
Kenya,2005,35247,146
Kenya,2010,40844,147
Kenya,2015,45926,149
Kenya,2020,49859,150
Kiribati,1995,77,151
Kiribati,2000,86,152
Kiribati,2005,93,153
Kiribati,2010,100,155
Kiribati,2015,106,156
Kiribati,2020,112,157
Kosovo,1995,2029,158
Kosovo,2000,1701,823
Kosovo,2005,1768,880
Kosovo,2010,1816,936
Kosovo,2015,1871,993
Kosovo,2020,1933,1049
Kuwait,1995,1665,1106
Kuwait,2000,1973,1162
Kuwait,2005,2257,1218
Kuwait,2010,2544,1275
Kuwait,2015,2789,1331
Kuwait,2020,2994,1388
Kyrgyzstan,1995,4621,1444
Kyrgyzstan,2000,4938,1501
Kyrgyzstan,2005,5165,10235
Kyrgyzstan,2010,5411,10314
Kyrgyzstan,2015,5665,10394
Kyrgyzstan,2020,5965,10473
Laos,1995,4847,10553
Laos,2000,5398,10632
Laos,2005,5837,10712
Laos,2010,6369,10791
Laos,2015,6912,10871
Laos,2020,7448,10950
Latvia,1995,2481,11029
Latvia,2000,2369,11109
Latvia,2005,2259,11188
Latvia,2010,2116,44520
Latvia,2015,1987,50406
Latvia,2020,1882,56293
Lebanon,1995,3673,62180
Lebanon,2000,3835,68066
Lebanon,2005,4139,73953
Lebanon,2010,4493,79840
Lebanon,2015,6185,85727
Lebanon,2020,5470,91613
Lesotho,1995,1848,97500
Lesotho,2000,1917,103387
Lesotho,2005,1923,109274
Lesotho,2010,1920,115160
Lesotho,2015,1948,5189
Lesotho,2020,1970,5269
Liberia,1995,1901,5349
Liberia,2000,2601,5428
Liberia,2005,2931,5508
Liberia,2010,3686,5588
Liberia,2015,4196,5668
Liberia,2020,4728,5748
Libya,1995,4584,5827
Libya,2000,5025,5907
Libya,2005,5571,5987
Libya,2010,6111,6067
Libya,2015,6412,6146
Libya,2020,6943,477
Liechtenstein,1995,31,547
Liechtenstein,2000,33,616
Liechtenstein,2005,35,686
Liechtenstein,2010,37,755
Liechtenstein,2015,38,825
Liechtenstein,2020,40,894
Lithuania,1995,3510,964
Lithuania,2000,3490,1033
Lithuania,2005,3327,1103
Lithuania,2010,3089,1172
Lithuania,2015,2885,1242
Lithuania,2020,2732,1311
Luxembourg,1995,410,71
Luxembourg,2000,439,72
Luxembourg,2005,468,73
Luxembourg,2010,510,74
Luxembourg,2015,571,75
Luxembourg,2020,629,76
Macau,1995,402,77
Macau,2000,432,78
Macau,2005,475,79
Macau,2010,568,79
Macau,2015,593,80
Macau,2020,615,81
Madagascar,1995,13533,82
Madagascar,2000,15713,7100
Madagascar,2005,18132,7765
Madagascar,2010,20847,8429
Madagascar,2015,23813,9093
Madagascar,2020,26956,9757
Malawi,1995,9809,10421
Malawi,2000,11130,11085
Malawi,2005,12864,11750
Malawi,2010,15183,12414
Malawi,2015,17965,13078
Malawi,2020,21197,13742
Malaysia,1995,20340,14406
Malaysia,2000,23152,15070
Malaysia,2005,25969,10319
Malaysia,2010,28275,11383
Malaysia,2015,30514,12447
Malaysia,2020,32653,13512
Maldives,1995,261,14576
Maldives,2000,300,15641
Maldives,2005,337,16705
Maldives,2010,396,17770
Maldives,2015,394,18834
Maldives,2020,392,19899
Mali,1995,9489,20963
Mali,2000,10788,22027
Mali,2005,12528,23092
Mali,2010,14583,57145
Mali,2015,16956,63059
Mali,2020,19714,68974
Malta,1995,377,74888
Malta,2000,390,80803
Malta,2005,399,86717
Malta,2010,407,92632
Malta,2015,414,98546
Malta,2020,420,104461
Marshall Islands,1995,50,110375
Marshall Islands,2000,54,116290
Marshall Islands,2005,60,122204
Marshall Islands,2010,66,128119
Marshall Islands,2015,73,4875
Marshall Islands,2020,78,5191
Mauritania,1995,2235,5507
Mauritania,2000,2501,5823
Mauritania,2005,2838,6139
Mauritania,2010,3206,6454
Mauritania,2015,3597,6770
Mauritania,2020,4006,7086
Mauritius,1995,1124,7402
Mauritius,2000,1186,7717
Mauritius,2005,1243,8033
Mauritius,2010,1295,8349
Mauritius,2015,1340,8665
Mauritius,2020,1380,429
Mexico,1995,92584,477
Mexico,2000,99776,525
Mexico,2005,106577,573
Mexico,2010,114062,622
Mexico,2015,121737,670
Mexico,2020,128650,718
Moldova,1995,4356,766
Moldova,2000,4181,814
Moldova,2005,3949,862
Moldova,2010,3732,910
Moldova,2015,3547,958
Moldova,2020,3365,1006
Monaco,1995,31,3739
Monaco,2000,32,4184
Monaco,2005,32,4630
Monaco,2010,31,5076
