Country,Year,Population_actual,Population_predicted
Qatar,2020,2445,29
Republic of the Congo,1995,2570,29
Republic of the Congo,2000,2940,29
Republic of the Congo,2005,3473,30
Republic of the Congo,2010,4238,30
Republic of the Congo,2015,4756,30
Republic of the Congo,2020,5294,31
Romania,1995,22688,31
Romania,2000,22448,31
Romania,2005,22198,31
Romania,2010,21960,32
Romania,2015,21667,9880
Romania,2020,21303,10109
Russia,1995,148759,10338
Russia,2000,147054,10567
Russia,2005,143320,10796
Russia,2010,142527,11024
Russia,2015,142424,11253
Russia,2020,145723,11482
Rwanda,1995,5473,11711
Rwanda,2000,8399,11940
Rwanda,2005,9612,12169
Rwanda,2010,11056,12398
Rwanda,2015,12662,12627
Rwanda,2020,14328,52
Saint Barthélemy,1995,7,54
Saint Barthélemy,2000,8,56
Saint Barthélemy,2005,8,58
Saint Barthélemy,2010,8,60
Saint Barthélemy,2015,8,62
Saint Barthélemy,2020,8,64
"Saint Helena, Ascension and Tristan da Cunha",1995,7,66
"Saint Helena, Ascension and Tristan da Cunha",2000,8,67
"Saint Helena, Ascension and Tristan da Cunha",2005,8,69
"Saint Helena, Ascension and Tristan da Cunha",2010,8,71
"Saint Helena, Ascension and Tristan da Cunha",2015,8,73
"Saint Helena, Ascension and Tristan da Cunha",2020,8,75
Saint Kitts and Nevis,1995,44,99
Saint Kitts and Nevis,2000,46,100
Saint Kitts and Nevis,2005,48,102
Saint Kitts and Nevis,2010,50,104
Saint Kitts and Nevis,2015,52,105
Saint Kitts and Nevis,2020,54,107
Saint Lucia,1995,147,109
Saint Lucia,2000,154,110
Saint Lucia,2005,158,112
Saint Lucia,2010,161,113
Saint Lucia,2015,164,115
Saint Lucia,2020,167,117
Saint Martin,1995,33,118
Saint Martin,2000,29,126
Saint Martin,2005,28,136
Saint Martin,2010,31,145
Saint Martin,2015,32,154
Saint Martin,2020,33,163
Saint Pierre and Miquelon,1995,7,173
Saint Pierre and Miquelon,2000,7,182
Saint Pierre and Miquelon,2005,7,191
Saint Pierre and Miquelon,2010,6,200
Saint Pierre and Miquelon,2015,6,209
Saint Pierre and Miquelon,2020,6,219
Saint Vincent and the Grenadines,1995,109,228
Saint Vincent and the Grenadines,2000,108,237
Saint Vincent and the Grenadines,2005,107,9279
Saint Vincent and the Grenadines,2010,105,10288
Saint Vincent and the Grenadines,2015,103,11297
Saint Vincent and the Grenadines,2020,102,12306
Samoa,1995,169,13315
Samoa,2000,177,14324
Samoa,2005,185,15333
Samoa,2010,193,16342
Samoa,2015,198,17351
Samoa,2020,204,18360
San Marino,1995,25,19369
San Marino,2000,28,20378
San Marino,2005,30,21387
San Marino,2010,32,59
San Marino,2015,34,60
San Marino,2020,35,62
Saudi Arabia,1995,18756,64
Saudi Arabia,2000,21312,65
Saudi Arabia,2005,23643,67
Saudi Arabia,2010,25732,69
Saudi Arabia,2015,27753,70
Saudi Arabia,2020,29819,72
Senegal,1995,8379,74
Senegal,2000,9470,75
Senegal,2005,10805,77
Senegal,2010,12324,79
Senegal,2015,13976,6913
Senegal,2020,15737,7759
Serbia,1995,7692,8606
Serbia,2000,7605,9452
Serbia,2005,7503,10299
Serbia,2010,7345,11146
Serbia,2015,7177,11992
Serbia,2020,7013,12839
Seychelles,1995,75,13685
Seychelles,2000,80,14532
Seychelles,2005,84,15379
Seychelles,2010,89,16225
Seychelles,2015,93,17072
Seychelles,2020,96,1084
Sierra Leone,1995,3882,1194
Sierra Leone,2000,3810,1303
Sierra Leone,2005,4709,1412
Sierra Leone,2010,5246,1521
Sierra Leone,2015,5880,1630
Sierra Leone,2020,6625,1740
Singapore,1995,3567,1849
Singapore,2000,4064,1958
Singapore,2005,4606,2067
Singapore,2010,5141,2177
Singapore,2015,5675,2286
Singapore,2020,6210,2395
Sint Maarten,1995,32,742
Sint Maarten,2000,31,754
Sint Maarten,2005,34,766
Sint Maarten,2010,38,778
Sint Maarten,2015,41,791
Sint Maarten,2020,44,803
Slovakia,1995,5362,815
Slovakia,2000,5401,827
Slovakia,2005,5408,840
Slovakia,2010,5427,852
Slovakia,2015,5446,864
Slovakia,2020,5441,876
Slovenia,1995,2003,889
Slovenia,2000,2011,6989
Slovenia,2005,2012,7597
Slovenia,2010,2004,8206
Slovenia,2015,1984,8814
Slovenia,2020,1952,9423
Solomon Islands,1995,376,10031
Solomon Islands,2000,434,10639
Solomon Islands,2005,496,11248
Solomon Islands,2010,560,11856
Solomon Islands,2015,623,12465
Solomon Islands,2020,686,13073
Somalia,1995,6401,13681
Somalia,2000,7501,14290
Somalia,2005,8791,5133
Somalia,2010,9768,5765
Somalia,2015,10617,6396
Somalia,2020,11758,7028
South Africa,1995,42148,7660
South Africa,2000,44914,8291
South Africa,2005,48105,8923
South Africa,2010,51123,9555
South Africa,2015,53676,10186
South Africa,2020,56464,10818
South Korea,1995,45106,11450
South Korea,2000,46839,12081
South Korea,2005,48006,12713
South Korea,2010,48637,5568
South Korea,2015,49116,5937
South Korea,2020,49362,6307
South Sudan,1995,5193,6676
South Sudan,2000,6297,7046
South Sudan,2005,7634,7415
South Sudan,2010,9585,7785
South Sudan,2015,12043,8155
South Sudan,2020,14559,8524
Spain,1995,39765,8894
Spain,2000,40590,9263
Spain,2005,43705,9633
Spain,2010,46506,10002
Spain,2015,48147,10254
Spain,2020,50016,10226
Sri Lanka,1995,17942,10199
Sri Lanka,2000,19042,10171
Sri Lanka,2005,20103,10143
Sri Lanka,2010,21084,10115
Sri Lanka,2015,22054,10088
Sri Lanka,2020,22890,10060
Sudan,1995,24517,10032
Sudan,2000,27068,10004
Sudan,2005,29884,9976
Sudan,2010,32997,9949
Sudan,2015,36109,9921
Sudan,2020,41131,260
Suriname,1995,428,274
Suriname,2000,465,288
Suriname,2005,504,303
Suriname,2010,546,317
Suriname,2015,580,331
Suriname,2020,610,346
Sweden,1995,8878,360
Sweden,2000,8925,374
Sweden,2005,9083,389
Sweden,2010,9433,403
Sweden,2015,9802,418
Sweden,2020,10203,432
Switzerland,1995,7165,855324
Switzerland,2000,7278,929847
Switzerland,2005,7449,1004371
Switzerland,2010,7770,1078895
Switzerland,2015,8122,1153418
Switzerland,2020,8404,1227942
Syria,1995,14487,1302466
Syria,2000,16515,1376989
Syria,2005,18615,1451513
Syria,2010,21766,1526037
Syria,2015,17065,1600560
Syria,2020,22347,1675084
São Tomé and Príncipe,1995,128,1749608
São Tomé and Príncipe,2000,141,183818
São Tomé and Príncipe,2005,158,198895
São Tomé and Príncipe,2010,176,213973
São Tomé and Príncipe,2015,195,229051
São Tomé and Príncipe,2020,212,244129
Taiwan,1995,21291,259206
Taiwan,2000,22185,274284
Taiwan,2005,22728,289362
Taiwan,2010,23127,304440
Taiwan,2015,23416,319517
Taiwan,2020,23604,334595
Tajikistan,1995,5679,349673
Tajikistan,2000,6230,364750
Tajikistan,2005,6815,54265
Tajikistan,2010,7488,60090
Tajikistan,2015,8192,65915
Tajikistan,2020,8874,71740
Tanzania,1995,29065,77565
Tanzania,2000,33194,83390
Tanzania,2005,38487,89215
Tanzania,2010,44289,95040
Tanzania,2015,51046,100865
Tanzania,2020,58553,106690
Thailand,1995,59818,112515
Thailand,2000,62902,118340
Thailand,2005,65113,124165
Thailand,2010,66721,20267
Thailand,2015,67977,23074
Thailand,2020,68978,25881
Timor-Leste,1995,868,28688
Timor-Leste,2000,768,31494
Timor-Leste,2005,985,34301
Timor-Leste,2010,1088,37108
Timor-Leste,2015,1232,39915
Timor-Leste,2020,1384,42722
Togo,1995,4203,45528
Togo,2000,4992,48335
Togo,2005,5715,51142
Togo,2010,6588,53949
Togo,2015,7553,3730
Togo,2020,8609,3915
Tonga,1995,98,4099
Tonga,2000,101,4283
Tonga,2005,104,4468
Tonga,2010,106,4652
Tonga,2015,107,4836
Tonga,2020,107,5021
Trinidad and Tobago,1995,1265,5205
Trinidad and Tobago,2000,1252,5389
Trinidad and Tobago,2005,1237,5574
Trinidad and Tobago,2010,1229,5758
Trinidad and Tobago,2015,1223,5942
Trinidad and Tobago,2020,1209,69
Tunisia,1995,8947,72
Tunisia,2000,9508,76
Tunisia,2005,10013,80
Tunisia,2010,10526,83
Tunisia,2015,11038,87
Tunisia,2020,11495,91
Turkey,1995,61296,94
Turkey,2000,65970,98
Turkey,2005,70465,102
Turkey,2010,74687,105
Turkey,2015,79415,109
Turkey,2020,82018,113
Turkmenistan,1995,4079,5064
Turkmenistan,2000,4386,5629
Turkmenistan,2005,4665,6195
Turkmenistan,2010,4941,6760
Turkmenistan,2015,5232,7326
Turkmenistan,2020,5929,7892
Turks and Caicos Islands,1995,15,8457
Turks and Caicos Islands,2000,20,9023
Turks and Caicos Islands,2005,28,9588
Turks and Caicos Islands,2010,44,10154
Turks and Caicos Islands,2015,51,10720
Turks and Caicos Islands,2020,56,11285
Tuvalu,1995,10,11851
Tuvalu,2000,11,56997
Tuvalu,2005,11,57899
Tuvalu,2010,11,58802
Tuvalu,2015,11,59705
Tuvalu,2020,12,60608
Uganda,1995,19641,61511
Uganda,2000,22917,62413
Uganda,2005,26917,63316
Uganda,2010,31508,64219
Uganda,2015,37102,65122
Uganda,2020,43518,66024
Ukraine,1995,51248,66927
Ukraine,2000,49014,67830
Ukraine,2005,47003,13173
Ukraine,2010,45769,15037
Ukraine,2015,44430,16901
Ukraine,2020,43923,18765
United Arab Emirates,1995,2458,20629
United Arab Emirates,2000,3220,22493
United Arab Emirates,2005,4087,24357
United Arab Emirates,2010,4976,26221
United Arab Emirates,2015,5780,28085
United Arab Emirates,2020,6496,29949
United Kingdom,1995,58187,31813
United Kingdom,2000,59140,33677
United Kingdom,2005,60488,35541
United Kingdom,2010,62349,2387
United Kingdom,2015,64089,2502
United Kingdom,2020,65762,2616
United States,1995,266279,2731
United States,2000,282163,2846
United States,2005,295517,2960
United States,2010,309348,3075
United States,2015,321369,3189
United States,2020,334504,3304
United States Virgin Islands,1995,108,3419
United States Virgin Islands,2000,109,3533
United States Virgin Islands,2005,108,3648
United States Virgin Islands,2010,107,3763
United States Virgin Islands,2015,104,118123
United States Virgin Islands,2020,101,121037
Uruguay,1995,3151,123951
Uruguay,2000,3220,126865
Uruguay,2005,3265,129779
Uruguay,2010,3302,132693
Uruguay,2015,3342,135607
Uruguay,2020,3388,138521
Uzbekistan,1995,23068,141435
Uzbekistan,2000,25042,144349
Uzbekistan,2005,26540,147263
Uzbekistan,2010,27866,150177
Uzbekistan,2015,29200,153091
Uzbekistan,2020,30566,82
Vanuatu,1995,173,85
Vanuatu,2000,192,88
Vanuatu,2005,218,91
Vanuatu,2010,246,94
Vanuatu,2015,273,97
Vanuatu,2020,299,100
Venezuela,1995,21550,104
Venezuela,2000,23493,107
Venezuela,2005,25270,110
Venezuela,2010,27224,113
Venezuela,2015,29276,116
Venezuela,2020,31276,119
Vietnam,1995,73784,3701
Vietnam,2000,79178,4272
Vietnam,2005,84425,4842
Vietnam,2010,89572,5413
Vietnam,2015,94349,5983
Vietnam,2020,98722,6554
Wallis and Futuna,1995,15,7124
Wallis and Futuna,2000,15,7695
Wallis and Futuna,2005,16,8265
Wallis and Futuna,2010,16,8835
Wallis and Futuna,2015,16,9406
Wallis and Futuna,2020,16,9976
Western Sahara,1995,264,10547
Western Sahara,2000,337,15578
Western Sahara,2005,416,16238
Western Sahara,2010,492,16897
Western Sahara,2015,571,17557
Western Sahara,2020,653,18216
World,1995,5699203,18876
World,2000,6088572,19536
World,2005,6473045,20195
World,2010,6866333,20855
World,2015,7256491,21514
World,2020,7643403,22174
Yemen,1995,14832,22833
Yemen,2000,17236,23493
Yemen,2005,20003,25226
Yemen,2010,23210,28694
Yemen,2015,26738,32162
Yemen,2020,29885,35630
Zambia,1995,8691,39099
Zambia,2000,9984,42567
Zambia,2005,11373,46035
Zambia,2010,13042,49503
Zambia,2015,15067,52971
Zambia,2020,17427,56439
Zimbabwe,1995,11160,59907
Zimbabwe,2000,11821,63376
Zimbabwe,2005,11640,66844
Zimbabwe,2010,11652,73
Zimbabwe,2015,14230,79
Zimbabwe,2020,15832,85
